trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
98,False,"{'a': 0.5, 'e': 0.140858420921045}",35,16,31.613945608542924,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.13806923731089282}",30,15,25.63221188683474,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.1353352832366127}",30,16,18.859497804713175,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.13265546508012172}",35,13,34.779449710766556,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.1300287108784259}",20,0,17.95296224718366,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.12745396989482075}",30,6,-10.531982684143113,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
104,False,"{'a': 0.5, 'e': 0.12493021219858241}",20,6,12.763975838566154,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.1224564282529819}",20,15,10.8117511743505,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.12003162851145673}",25,2,21.102002461076353,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.11765484302177918}",20,6,27.83362608730997,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.11532512103806251}",20,3,-18.037147512470884,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
109,False,"{'a': 0.5, 'e': 0.11304153064044985}",25,14,21.477650425264056,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.11080315836233387}",30,16,-2.0631924902671006,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.10860910882495796}",25,16,17.916500472495958,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.1064585043792528}",20,0,-7.733510117143144,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
113,False,"{'a': 0.5, 'e': 0.104350484754765}",30,12,-14.042002185014262,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
114,False,"{'a': 0.5, 'e': 0.10228420671553744}",20,0,29.968852285236967,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
115,False,"{'a': 0.5, 'e': 0.1002588437228037}",30,18,23.739712177433347,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.09827358560436154}",25,16,18.76074052649343,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.09632763823049303}",25,0,-4.2345039726368,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",1
118,False,"{'a': 0.5, 'e': 0.09442022319630235}",35,20,17.23670876801266,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
